sampler,benchmark,subset,eigvec_group,eigvec_idx,eigenvalue,delta_alpha,max_revival_delta,classification
as,w5,S1,max5,2,18.23040199279785,"[9.999999747378752e-05, -0.00019997358322143555, 9.999999747378752e-05, 0.0, 0.0]",9.999999747378752e-05,surviving
as,w5,S1,max5,3,253.8014678955078,"[9.999999747378752e-05, 0.0, -9.999999747378752e-05, 0.0, 0.0]",9.999999747378752e-05,surviving
as,w5,S1,max5,4,831.711669921875,"[0.00019999999494757503, -0.00019997358322143555, 0.0, 0.0, 0.0]",0.00019999999494757503,surviving
as,w5,S0,min5,0,-4.345844745635986,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,surviving
as,w5,S0,min5,1,-3.8713903427124023,"[-0.00020003318786621094, 0.0003000000142492354, 0.0, 0.0, -9.999999747378752e-05]",0.0003000000142492354,surviving
as,w5,S0,min5,2,-3.598525047302246,"[0.00019997358322143555, 0.0, 0.0, 0.0, -0.00019999999494757503]",0.00019999999494757503,surviving
as,w5,S0,min5,3,-3.567607879638672,"[0.00019997358322143555, 0.0, 0.0, 0.0, -0.00019999999494757503]",0.00019999999494757503,surviving
as,w5,S0,min5,4,-3.3124027252197266,"[0.00019997358322143555, 0.0, 0.0, 0.0, -0.00019999999494757503]",0.00019999999494757503,surviving
as,w5,S0,max5,0,6.731855869293213,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,surviving
as,w5,S0,max5,1,15.657912254333496,"[-0.00020003318786621094, 9.999999747378752e-05, 0.0, 0.0, 0.00010000001930166036]",0.00010000001930166036,surviving
as,w5,S0,max5,2,17.905061721801758,"[9.995698928833008e-05, 9.999999747378752e-05, 0.0, 0.0, -0.00019999999494757503]",0.00019999999494757503,surviving
as,w5,S0,max5,3,288.50396728515625,"[-0.00010001659393310547, 0.0003000000142492354, 0.0, 0.0, -0.00019999999494757503]",0.0003000000142492354,surviving
as,w5,S0,max5,4,929.978271484375,"[-0.00010001659393310547, 0.00019999999494757503, 0.0, 0.0, -9.999999747378752e-05]",0.00019999999494757503,surviving
as,w5,S14,min5,0,-1.754626989364624,"[-0.00020000000949949026, 0.003899991512298584, -0.0003999999607913196, -0.0008000000525498763, -0.002499997615814209]",0.0008000000525498763,surviving
as,w5,S14,min5,1,-1.699608325958252,"[0.0002999999560415745, 0.00279998779296875, -0.00049999998009298, 9.999994654208422e-05, -0.0026999711990356445]",0.00049999998009298,surviving
as,w5,S14,min5,2,-1.6319726705551147,"[0.00020000000949949026, 0.0029000043869018555, -9.999994654208422e-05, -0.00010000006295740604, -0.0029000043869018555]",0.00020000000949949026,surviving
as,w5,S14,min5,3,-1.595938801765442,"[9.999994654208422e-05, 0.013100028038024902, -0.00049999998009298, -0.0006000000576023012, -0.012099981307983398]",0.0006000000576023012,surviving
as,w5,S14,min5,4,-1.5536768436431885,"[0.0, -0.004799991846084595, -0.0003999999607913196, -0.0003000000724568963, 0.00550001859664917]",0.0003999999607913196,surviving
as,w5,S14,max5,0,9.917120933532715,"[0.00020000000949949026, -9.998679161071777e-05, 0.0003000000724568963, -0.0003000000724568963, -9.995698928833008e-05]",0.0003000000724568963,surviving
as,w5,S14,max5,1,155.7426300048828,"[0.0002999999560415745, -0.006099998950958252, -9.999994654208422e-05, -0.0007000000332482159, 0.006600022315979004]",0.0007000000332482159,surviving
as,w5,S14,max5,2,195.15853881835938,"[-0.0005000000237487257, 0.000800013542175293, 0.0, -0.0006000000576023012, 0.0003000497817993164]",0.0006000000576023012,surviving
as,w5,S14,max5,3,402.8094177246094,"[-0.00020000000949949026, 0.008500009775161743, 0.00020000000949949026, -0.0006000000576023012, -0.007899969816207886]",0.0006000000576023012,surviving
as,w5,S14,max5,4,478.242919921875,"[0.0002999999560415745, 0.0049000084400177, 0.00010000000474974513, -0.0006000000576023012, -0.004700005054473877]",0.0006000000576023012,surviving
as,w5,S24,min5,0,-2.268656015396118,"[0.0, 9.999999747378752e-05, -0.0045999884605407715, 0.0005000000819563866, 0.0040000081062316895]",0.0005000000819563866,surviving
as,w5,S24,min5,1,-2.2368788719177246,"[0.0, 0.00020000001677544788, -0.0013000071048736572, -0.0006000000284984708, 0.001699984073638916]",0.0006000000284984708,surviving
as,w5,S24,min5,2,-2.1619455814361572,"[-9.999997564591467e-05, 9.999999747378752e-05, -0.00959998369216919, -0.0002999999560415745, 0.00989997386932373]",0.0002999999560415745,surviving
as,w5,S24,min5,3,-2.076413154602051,"[-9.999997564591467e-05, 0.0, -0.0009000003337860107, -0.0002999999560415745, 0.0012999773025512695]",0.0002999999560415745,surviving
as,w5,S24,min5,4,-2.048362970352173,"[-9.999997564591467e-05, 0.00029999999242136255, -0.006399989128112793, -0.0004999999655410647, 0.006699979305267334]",0.0004999999655410647,surviving
as,w5,S24,max5,0,9.141079902648926,"[0.0, 0.00020000001677544788, -9.998679161071777e-05, 9.999994654208422e-05, -0.00019997358322143555]",0.00020000001677544788,surviving
as,w5,S24,max5,1,120.27435302734375,"[0.00010000003385357559, -9.999999747378752e-05, -0.006599992513656616, -0.00010000006295740604, 0.006699979305267334]",0.00010000006295740604,surviving
as,w5,S24,max5,2,184.03030395507812,"[0.00010000003385357559, 0.0, -0.0032999813556671143, 0.0005000000819563866, 0.0026999711990356445]",0.0005000000819563866,surviving
as,w5,S24,max5,3,368.6420593261719,"[0.00020000003860332072, 9.999999747378752e-05, -0.002499997615814209, -0.0002999999560415745, 0.002499997615814209]",0.0002999999560415745,surviving
as,w5,S24,max5,4,391.9256286621094,"[-0.00019999999494757503, 9.999999747378752e-05, 0.004600018262863159, -0.0004000000189989805, -0.004100024700164795]",0.0004000000189989805,surviving
as,w5,S014,min5,0,-3.757028579711914,"[0.0005000084638595581, -0.011200010776519775, 0.0, -9.999999747378752e-05, 0.010800004005432129]",9.999999747378752e-05,surviving
as,w5,S014,min5,1,-3.414405107498169,"[-0.0022999942302703857, 0.003600001335144043, -0.00020000001677544788, 0.0, -0.001100003719329834]",0.00020000001677544788,surviving
as,w5,S014,min5,2,-3.1672921180725098,"[-0.0033999979496002197, -0.0054000020027160645, 0.0, -0.00019999999494757503, 0.009000003337860107]",0.00019999999494757503,surviving
as,w5,S014,min5,3,-3.1019914150238037,"[-0.004600003361701965, -0.007200002670288086, -0.0003000000142492354, 0.0, 0.012100011110305786]",0.0003000000142492354,surviving
as,w5,S014,min5,4,-2.956387519836426,"[-0.0037000030279159546, -0.008700013160705566, 9.999997564591467e-05, 0.0, 0.012299984693527222]",9.999997564591467e-05,surviving
as,w5,S014,max5,0,141.03665161132812,"[-0.010999992489814758, -0.0049000084400177, 0.0, -0.00019999999494757503, 0.016099989414215088]",0.00019999999494757503,surviving
as,w5,S014,max5,1,298.5446472167969,"[-0.0011999905109405518, -0.0051000118255615234, -0.00020000001677544788, -9.999999747378752e-05, 0.006599992513656616]",0.00020000001677544788,surviving
as,w5,S014,max5,2,426.6056213378906,"[-0.009199991822242737, 0.0022999942302703857, -0.00010000001930166036, -9.999999747378752e-05, 0.0070999860763549805]",0.00010000001930166036,surviving
as,w5,S014,max5,3,544.42529296875,"[0.01090000569820404, -0.003800004720687866, -0.00010000001930166036, -9.999999747378752e-05, -0.006900012493133545]",0.00010000001930166036,surviving
as,w5,S014,max5,4,821.346435546875,"[-0.021499991416931152, 0.010699987411499023, 0.0, 0.0, 0.010800004005432129]",0.0,surviving
as,w5,S03,min5,0,-1.7136880159378052,"[-0.004400014877319336, 0.00049999998009298, -0.00029999998514540493, 0.004400014877319336, -0.00020000000949949026]",0.00049999998009298,surviving
as,w5,S03,min5,1,-1.5818660259246826,"[-0.008799999952316284, 0.0005999999848427251, -0.0003999999607913196, 0.008900046348571777, -0.0003000000142492354]",0.0005999999848427251,surviving
as,w5,S03,min5,2,-1.2443702220916748,"[-0.000800013542175293, 0.0003000000288011506, -0.0003999999607913196, -0.0004000067710876465, 0.0013000001199543476]",0.0013000001199543476,surviving
as,w5,S03,min5,3,-1.2061994075775146,"[-0.004500001668930054, 0.00019999999494757503, 0.0, 0.0042999982833862305, 0.0]",0.00019999999494757503,surviving
as,w5,S03,min5,4,-1.1373803615570068,"[-0.015400022268295288, 0.0006999999895924702, -0.00019999995129182935, 0.014800012111663818, 0.00010000006295740604]",0.0006999999895924702,surviving
as,w5,S03,max5,0,8.963479042053223,"[-0.0037000179290771484, 0.0005999999848427251, -0.00029999998514540493, 0.003300011157989502, 0.00010000006295740604]",0.0005999999848427251,surviving
as,w5,S03,max5,1,177.35806274414062,"[-0.010600000619888306, 0.00019999999494757503, 0.0004000000189989805, 0.010200023651123047, -0.00020000000949949026]",0.0004000000189989805,surviving
as,w5,S03,max5,2,222.648193359375,"[-0.0027000010013580322, 0.0008000000525498763, -0.00029999998514540493, 0.001300036907196045, 0.0009000001009553671]",0.0009000001009553671,surviving
as,w5,S03,max5,3,443.6468505859375,"[-0.0007000267505645752, 0.00019999999494757503, 0.0, 0.000299990177154541, 0.00020000000949949026]",0.00020000000949949026,surviving
as,w5,S03,max5,4,488.7845764160156,"[-0.0003000199794769287, 0.00019999999494757503, -0.00029999998514540493, -0.00019997358322143555, 0.0006000000284984708]",0.0006000000284984708,surviving
as,w5,S23,min5,0,-6.297335624694824,"[0.0, 0.0, 0.00950002670288086, -0.00959998369216919, 9.999999747378752e-05]",9.999999747378752e-05,surviving
as,w5,S23,min5,1,-6.150031566619873,"[0.0, 0.0, 0.004600048065185547, -0.004700005054473877, 9.999999747378752e-05]",9.999999747378752e-05,surviving
as,w5,S23,min5,2,-6.034031391143799,"[0.0, 0.0, 0.013600051403045654, -0.013700008392333984, 9.999999747378752e-05]",9.999999747378752e-05,surviving
as,w5,S23,min5,3,-5.65656852722168,"[0.0, 0.0, -0.0018000006675720215, 0.0018000006675720215, 0.0]",0.0,surviving
as,w5,S23,min5,4,-5.310982704162598,"[0.0, 9.999999747378752e-05, 0.0012000203132629395, -0.0013000071048736572, 0.0]",9.999999747378752e-05,surviving
as,w5,S23,max5,0,11.316378593444824,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,surviving
as,w5,S23,max5,1,64.01464080810547,"[0.0, 0.0, 0.01660001277923584, -0.016699999570846558, 9.999999747378752e-05]",9.999999747378752e-05,surviving
as,w5,S23,max5,2,163.48629760742188,"[0.0, 0.0, 0.013999998569488525, -0.013999998569488525, 0.0]",0.0,surviving
as,w5,S23,max5,3,518.2727661132812,"[0.0, 0.0, 0.02030003070831299, -0.0203000009059906, 0.0]",0.0,surviving
as,w5,S23,max5,4,857.3148193359375,"[0.0, 0.0, 0.0031000375747680664, -0.0031999945640563965, 9.999999747378752e-05]",9.999999747378752e-05,surviving
as,w5,S1234,min5,0,-2.5741214752197266,"[-0.00019999999494757503, -0.005300015211105347, 0.005599990487098694, -0.004200011491775513, 0.004100009799003601]",0.00019999999494757503,surviving
as,w5,S1234,min5,1,-2.525656223297119,"[-9.999999747378752e-05, 0.005299985408782959, 0.0014999955892562866, -0.0015000104904174805, -0.005199998617172241]",9.999999747378752e-05,surviving
as,w5,S1234,min5,2,-2.348040819168091,"[-9.999999747378752e-05, -0.007400006055831909, 0.0036999881267547607, 0.00920000672340393, -0.0054000020027160645]",9.999999747378752e-05,surviving
as,w5,S1234,min5,3,-2.23915696144104,"[-0.00019999999494757503, 0.0055999755859375, 0.00769999623298645, -0.006099998950958252, -0.006999999284744263]",0.00019999999494757503,surviving
as,w5,S1234,min5,4,-2.191725730895996,"[-0.00019999999494757503, 0.012899994850158691, 0.0008999854326248169, -0.008699983358383179, -0.004899993538856506]",0.00019999999494757503,surviving
as,w5,S1234,max5,0,169.0716094970703,"[-0.00019999999494757503, 0.012599974870681763, -0.005000010132789612, 0.0027000010013580322, -0.010099992156028748]",0.00019999999494757503,surviving
as,w5,S1234,max5,1,179.94932556152344,"[-0.00019999999494757503, -0.005800008773803711, 0.01109999418258667, -0.0065000057220458984, 0.0014000087976455688]",0.00019999999494757503,surviving
as,w5,S1234,max5,2,316.2181091308594,"[-9.999999747378752e-05, -0.0028000175952911377, 0.013199999928474426, -0.001100003719329834, -0.009199991822242737]",9.999999747378752e-05,surviving
as,w5,S1234,max5,3,351.3876647949219,"[-0.00019999999494757503, -0.004700005054473877, 0.001999989151954651, -0.01170000433921814, 0.014600008726119995]",0.00019999999494757503,surviving
as,w5,S1234,max5,4,531.4338989257812,"[-0.00019999999494757503, -0.004800021648406982, -0.006000012159347534, 0.009400010108947754, 0.001600012183189392]",0.00019999999494757503,surviving
as,w5,S023,min5,0,-2.299142599105835,"[0.0027000010013580322, -0.00010000006295740604, 0.006700001657009125, -0.010200023651123047, 0.0009000000136438757]",0.0009000000136438757,surviving
as,w5,S023,min5,1,-1.902539849281311,"[0.0015999972820281982, 9.999994654208422e-05, 0.005300000309944153, -0.007300019264221191, 0.00029999998514540493]",0.00029999998514540493,surviving
as,w5,S023,min5,2,-1.7305407524108887,"[0.0027000010013580322, 0.0002999999560415745, -0.00019999593496322632, -0.0039000511169433594, 0.001100000023143366]",0.001100000023143366,surviving
as,w5,S023,min5,3,-1.641205906867981,"[-0.005199998617172241, 0.0002999999560415745, 0.006400004029273987, -0.001600027084350586, 0.00010000003385357559]",0.0002999999560415745,surviving
as,w5,S023,min5,4,-1.5805453062057495,"[0.0020000040531158447, -0.00010000006295740604, 0.0034000054001808167, -0.006000041961669922, 0.0007000000041443855]",0.0007000000041443855,surviving
as,w5,S023,max5,0,10.139067649841309,"[-0.005899995565414429, 0.0, 0.005600005388259888, 0.00019997358322143555, 0.00010000003385357559]",0.00010000003385357559,surviving
as,w5,S023,max5,1,169.08290100097656,"[-0.004099994897842407, -0.0003000000724568963, 0.008200004696846008, -0.004700005054473877, 0.0009000000136438757]",0.0009000000136438757,surviving
as,w5,S023,max5,2,297.5610656738281,"[0.0033999979496002197, 0.000599999912083149, 0.0016999989748001099, -0.006300032138824463, 0.0006000000576023012]",0.0006000000576023012,surviving
as,w5,S023,max5,3,323.160400390625,"[0.000800013542175293, -0.0003000000724568963, 0.003300003707408905, -0.0040000081062316895, 0.00020000003860332072]",0.0003000000724568963,surviving
as,w5,S023,max5,4,581.9205322265625,"[0.01019999384880066, -0.00020000006770715117, 0.009300000965595245, -0.020000040531158447, 0.0007000000041443855]",0.0007000000041443855,surviving
asbs,w5,S4,min5,0,-38.18067169189453,"[0.0, 0.0, 0.0, 9.999999747378752e-05, -9.995698928833008e-05]",9.999999747378752e-05,surviving
asbs,w5,S4,min5,1,-36.59488296508789,"[0.0, 0.0, 0.0, 9.999999747378752e-05, -9.995698928833008e-05]",9.999999747378752e-05,surviving
asbs,w5,S4,min5,2,-33.30866241455078,"[9.999999747378752e-05, 0.0, 0.0, 0.0, -9.995698928833008e-05]",9.999999747378752e-05,surviving
asbs,w5,S4,min5,3,-32.494659423828125,"[9.999999747378752e-05, 0.0, 0.0, 9.999999747378752e-05, -0.00019997358322143555]",9.999999747378752e-05,surviving
asbs,w5,S4,min5,4,-31.361207962036133,"[0.00019999999494757503, 0.0, 0.0, -9.999999747378752e-05, -9.995698928833008e-05]",0.00019999999494757503,surviving
asbs,w5,S4,max5,0,53.93366622924805,"[0.0, 9.999999747378752e-05, 0.0, 9.999999747378752e-05, -0.00019997358322143555]",9.999999747378752e-05,surviving
asbs,w5,S4,max5,1,59.23591995239258,"[0.0, 0.0, 0.0, 0.00020000001677544788, -0.00019997358322143555]",0.00020000001677544788,surviving
asbs,w5,S4,max5,2,66.24162292480469,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,surviving
asbs,w5,S4,max5,3,215.0841064453125,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,surviving
asbs,w5,S4,max5,4,958.302734375,"[9.999999747378752e-05, 0.0, 0.0, 0.0, -9.995698928833008e-05]",9.999999747378752e-05,surviving
asbs,w5,S3,min5,0,-31.3892879486084,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,surviving
asbs,w5,S3,min5,1,-29.68865203857422,"[0.0, 0.0, 0.0, 0.00020003318786621094, -0.00020000001677544788]",0.00020000001677544788,surviving
asbs,w5,S3,min5,2,-28.403602600097656,"[0.0, 0.0, -9.999999747378752e-05, 0.00010001659393310547, 0.0]",9.999999747378752e-05,surviving
asbs,w5,S3,min5,3,-28.236934661865234,"[0.0, 0.0, 0.0, 0.00010001659393310547, -0.00010000001930166036]",0.00010000001930166036,surviving
asbs,w5,S3,min5,4,-27.30642318725586,"[0.0, 0.0, 0.00010000001930166036, -9.995698928833008e-05, 0.0]",0.00010000001930166036,surviving
asbs,w5,S3,max5,0,47.258296966552734,"[0.0, 0.0, 0.00040000003355089575, -0.000299990177154541, -0.00010000001930166036]",0.00040000003355089575,surviving
asbs,w5,S3,max5,1,50.27094268798828,"[0.0, 0.0, 0.0003000000288011506, -0.00019997358322143555, -0.00010000001930166036]",0.0003000000288011506,surviving
asbs,w5,S3,max5,2,54.760746002197266,"[0.0, 0.0, -9.999999747378752e-05, 0.00010001659393310547, 0.0]",9.999999747378752e-05,surviving
asbs,w5,S3,max5,3,257.02197265625,"[0.0, 0.0, -9.999999747378752e-05, 0.00010001659393310547, 0.0]",9.999999747378752e-05,surviving
asbs,w5,S3,max5,4,946.6090698242188,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,surviving
asbs,w5,S2,min5,0,-32.09056854248047,"[0.0, -9.999999747378752e-05, 0.0, 9.999999747378752e-05, 0.0]",9.999999747378752e-05,surviving
asbs,w5,S2,min5,1,-28.259761810302734,"[0.0, -9.999999747378752e-05, 0.00010001659393310547, 0.0, 0.0]",9.999999747378752e-05,surviving
asbs,w5,S2,min5,2,-27.89807891845703,"[0.0, -9.999999747378752e-05, 0.0, 9.999999747378752e-05, 0.0]",9.999999747378752e-05,surviving
asbs,w5,S2,min5,3,-26.10987663269043,"[0.0, -9.999999747378752e-05, 0.00010001659393310547, 0.0, 0.0]",9.999999747378752e-05,surviving
asbs,w5,S2,min5,4,-25.559017181396484,"[0.0, -9.999999747378752e-05, 0.00010001659393310547, 0.0, 0.0]",9.999999747378752e-05,surviving
asbs,w5,S2,max5,0,41.92095184326172,"[9.999999747378752e-05, 0.0, -9.995698928833008e-05, 0.0, 0.0]",9.999999747378752e-05,surviving
asbs,w5,S2,max5,1,42.741241455078125,"[0.0, -9.999999747378752e-05, 0.00010001659393310547, 0.0, 0.0]",9.999999747378752e-05,surviving
asbs,w5,S2,max5,2,47.60561752319336,"[0.0, -9.999999747378752e-05, 0.0, 9.999999747378752e-05, 0.0]",9.999999747378752e-05,surviving
asbs,w5,S2,max5,3,140.66636657714844,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,surviving
asbs,w5,S2,max5,4,796.5808715820312,"[0.0, 0.00020000001677544788, -0.000299990177154541, 0.0, 9.999999747378752e-05]",0.00020000001677544788,surviving
asbs,w5,S012,min5,0,-16.005815505981445,"[-0.0015000104904174805, -0.0020999908447265625, 0.003600001335144043, 0.0, 0.0]",0.0,surviving
asbs,w5,S012,min5,1,-14.94276237487793,"[0.002499997615814209, -0.0023999959230422974, 0.0, -9.999999747378752e-05, 0.0]",9.999999747378752e-05,surviving
asbs,w5,S012,min5,2,-14.151378631591797,"[0.0010999739170074463, 0.0004000067710876465, -0.001399993896484375, -9.999999747378752e-05, 0.0]",9.999999747378752e-05,surviving
asbs,w5,S012,min5,3,-13.921058654785156,"[-0.0023000240325927734, -0.0011999905109405518, 0.003600001335144043, -9.999999747378752e-05, 0.0]",9.999999747378752e-05,surviving
asbs,w5,S012,min5,4,-13.525700569152832,"[0.0033999979496002197, 0.0007999986410140991, -0.004099994897842407, -9.999999747378752e-05, 0.0]",9.999999747378752e-05,surviving
asbs,w5,S012,max5,0,158.11495971679688,"[0.002499997615814209, -0.0005999952554702759, -0.0020000040531158447, 0.0, 9.999999747378752e-05]",9.999999747378752e-05,surviving
asbs,w5,S012,max5,1,226.22682189941406,"[0.0059999823570251465, -0.012199997901916504, 0.006000012159347534, -9.999999747378752e-05, 0.0003000000142492354]",0.0003000000142492354,surviving
asbs,w5,S012,max5,2,340.7077941894531,"[0.0006999969482421875, 0.004999995231628418, -0.005799978971481323, 0.0, 9.999999747378752e-05]",9.999999747378752e-05,surviving
asbs,w5,S012,max5,3,412.9602966308594,"[-0.0027000010013580322, -0.0056999921798706055, 0.008200019598007202, -9.999999747378752e-05, 0.0003000000142492354]",0.0003000000142492354,surviving
asbs,w5,S012,max5,4,936.5991821289062,"[0.016099989414215088, -0.018199995160102844, 0.002200007438659668, -9.999999747378752e-05, 0.0]",9.999999747378752e-05,surviving
asbs,w5,S014,min5,0,-19.598247528076172,"[0.007799997925758362, -0.0034999847412109375, 0.0003000000142492354, -0.00010000001930166036, -0.004500001668930054]",0.0003000000142492354,surviving
asbs,w5,S014,min5,1,-18.36276626586914,"[0.010700002312660217, -0.012699991464614868, 0.00039999998989515007, -0.00010000001930166036, 0.0017000138759613037]",0.00039999998989515007,surviving
asbs,w5,S014,min5,2,-17.745206832885742,"[0.006999999284744263, -0.009900003671646118, 0.000699999975040555, -0.00010000001930166036, 0.0022999942302703857]",0.000699999975040555,surviving
asbs,w5,S014,min5,3,-17.053255081176758,"[0.00939999520778656, -0.0033999979496002197, 9.999999747378752e-05, -0.00010000001930166036, -0.0059999823570251465]",0.00010000001930166036,surviving
asbs,w5,S014,min5,4,-16.617759704589844,"[0.005199998617172241, 0.003800004720687866, 0.0003000000142492354, -0.00010000001930166036, -0.00920000672340393]",0.0003000000142492354,surviving
asbs,w5,S014,max5,0,152.15773010253906,"[0.011599987745285034, -0.01019999384880066, 9.999999747378752e-05, -0.00010000001930166036, -0.001399993896484375]",0.00010000001930166036,surviving
asbs,w5,S014,max5,1,312.63470458984375,"[0.015199989080429077, -0.010399997234344482, 0.00039999998989515007, -0.00010000001930166036, -0.005099982023239136]",0.00039999998989515007,surviving
asbs,w5,S014,max5,2,461.680908203125,"[0.007100000977516174, 0.0009000003337860107, 0.0003000000142492354, 0.0, -0.00830000638961792]",0.0003000000142492354,surviving
asbs,w5,S014,max5,3,631.8160400390625,"[0.021499991416931152, -0.008899986743927002, 0.0003000000142492354, 0.0, -0.012899994850158691]",0.0003000000142492354,surviving
asbs,w5,S014,max5,4,935.1415405273438,"[-0.0033999979496002197, 0.005899995565414429, 0.000699999975040555, -0.00020000001677544788, -0.0029999911785125732]",0.000699999975040555,surviving
asbs,w5,S0134,min5,0,-13.03935432434082,"[-0.0018000006675720215, 0.00039999186992645264, 0.0, 0.004199981689453125, -0.00279998779296875]",0.0,surviving
asbs,w5,S0134,min5,1,-12.30319595336914,"[0.003600001335144043, 0.008200004696846008, 9.999999747378752e-05, -0.002400010824203491, -0.009499996900558472]",9.999999747378752e-05,surviving
asbs,w5,S0134,min5,2,-12.140969276428223,"[-0.0028000175952911377, 0.00020000338554382324, 9.999999747378752e-05, -0.007100000977516174, 0.009600013494491577]",9.999999747378752e-05,surviving
asbs,w5,S0134,min5,3,-11.557278633117676,"[0.0036999881267547607, -0.00010000169277191162, -9.999999747378752e-05, -0.0032000094652175903, -0.000299990177154541]",9.999999747378752e-05,surviving
asbs,w5,S0134,min5,4,-11.22551155090332,"[-0.006999999284744263, 0.007399991154670715, 0.0, -0.0004000067710876465, 0.0]",0.0,surviving
asbs,w5,S0134,max5,0,186.1938934326172,"[0.008699983358383179, -0.006999999284744263, 0.0, -0.003600001335144043, 0.001900017261505127]",0.0,surviving
asbs,w5,S0134,max5,1,250.79306030273438,"[0.0009999871253967285, -0.0020000040531158447, 0.00029999999242136255, 0.0065000057220458984, -0.005799978971481323]",0.00029999999242136255,surviving
asbs,w5,S0134,max5,2,296.4866943359375,"[-0.013500005006790161, 0.011600002646446228, 0.0, 0.0032999813556671143, -0.001399993896484375]",0.0,surviving
asbs,w5,S0134,max5,3,416.70355224609375,"[0.014999985694885254, -0.014600008726119995, -9.999999747378752e-05, -0.003900006413459778, 0.003600001335144043]",9.999999747378752e-05,surviving
asbs,w5,S0134,max5,4,537.1961669921875,"[-0.016000017523765564, 0.024299994111061096, -9.999999747378752e-05, -0.001100003719329834, -0.0070999860763549805]",9.999999747378752e-05,surviving
asbs,w5,S04,min5,0,-35.54856872558594,"[-0.008500009775161743, -0.00039999998989515007, 0.0, 0.00049999998009298, 0.00839996337890625]",0.00049999998009298,surviving
asbs,w5,S04,min5,1,-32.56151580810547,"[-0.0153999924659729, -0.00029999999242136255, 0.0, -9.999999747378752e-05, 0.015799999237060547]",0.00029999999242136255,surviving
asbs,w5,S04,min5,2,-32.21419906616211,"[-0.009700000286102295, -0.00019999999494757503, 9.999999747378752e-05, -9.999999747378752e-05, 0.00989997386932373]",0.00019999999494757503,surviving
asbs,w5,S04,min5,3,-31.35028076171875,"[-0.011299997568130493, -0.00039999998989515007, 0.00019999999494757503, 0.0, 0.011500000953674316]",0.00039999998989515007,surviving
asbs,w5,S04,min5,4,-30.836397171020508,"[-0.006999999284744263, -0.00019999999494757503, 0.0, 0.0, 0.007200002670288086]",0.00019999999494757503,surviving
asbs,w5,S04,max5,0,46.059444427490234,"[-0.005800008773803711, -0.00039999998989515007, 0.0, -9.999999747378752e-05, 0.0062999725341796875]",0.00039999998989515007,surviving
